,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_features,param_n_estimators,param_warm_start,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
95,1.4671758174896241,0.027308002887999696,0.08293910026550293,0.0004173594526922334,True,balanced_subsample,log_loss,sqrt,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
83,1.5028432369232179,0.022423636777979282,0.0831526279449463,0.0005548930182442281,True,balanced_subsample,entropy,log2,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
82,1.4761308193206788,0.026132451615620705,0.08283791542053223,0.00047978118440016753,True,balanced_subsample,entropy,log2,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
77,1.4851547718048095,0.008834984144079171,0.08788304328918457,0.004891510447694356,True,balanced_subsample,entropy,sqrt,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
76,1.496555471420288,0.0112243982931885,0.08333387374877929,0.0008674680845725836,True,balanced_subsample,entropy,sqrt,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
100,1.437133264541626,0.019192307283725858,0.08067564964294434,0.004680769553750029,True,balanced_subsample,log_loss,log2,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
101,1.4169204711914063,0.007945942836050927,0.08071932792663575,0.00413863579071394,True,balanced_subsample,log_loss,log2,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
94,1.4404695510864258,0.014076812274279467,0.0865100383758545,0.012472175333635807,True,balanced_subsample,log_loss,sqrt,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.6561242093156987,0.7349051178838413,0.8010350776308223,0.8170310701956272,0.7508630609896433,0.7519917072031266,0.05677882254752302,1
19,0.23051829338073732,0.0038014704916638333,0.02900385856628418,1.0265851088338367e-05,True,balanced,entropy,sqrt,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
18,0.23455867767333985,0.007629011219945636,0.02890048027038574,0.00019282828918703264,True,balanced,entropy,sqrt,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
25,0.22750582695007324,0.003659165164333992,0.02890944480895996,0.00017228443930473848,True,balanced,entropy,log2,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': False}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
36,0.23168768882751464,0.004089412419701894,0.028618764877319337,0.000389141496519987,True,balanced,log_loss,sqrt,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
37,0.2290576457977295,0.00854859468304244,0.028900527954101564,0.00019583352032159808,True,balanced,log_loss,sqrt,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
42,0.22707757949829102,0.0030841152146024314,0.028707504272460938,0.00038287740499177205,True,balanced,log_loss,log2,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
24,0.22319378852844238,0.004652477079418129,0.028797245025634764,0.00039857421859217486,True,balanced,entropy,log2,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
43,0.22578086853027343,0.004407640209692386,0.028900146484375,0.00036334121623603715,True,balanced,log_loss,log2,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': False}",0.6705002875215641,0.7377803335250144,0.78953421506613,0.8153049482163406,0.7422324510932106,0.7510704470844519,0.04970275744174384,9
41,1.0527237892150878,0.010220367925472075,0.07829365730285645,0.005450743358256948,True,balanced,log_loss,sqrt,500,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
29,1.072218370437622,0.022552439530243676,0.0906670093536377,0.009476378422371732,True,balanced,entropy,log2,500,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
28,1.0566633701324464,0.021274065229411738,0.08157105445861816,0.004446008039153515,True,balanced,entropy,log2,500,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
46,1.0473955154418946,0.006938370532128701,0.07852082252502442,0.004711656783164127,True,balanced,log_loss,log2,500,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
40,1.0448811531066895,0.005712052751341067,0.07869720458984375,0.005141730871466822,True,balanced,log_loss,sqrt,500,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
23,1.034360694885254,0.009145892169026672,0.07918949127197265,0.005065624006540216,True,balanced,entropy,sqrt,500,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
47,1.0515676975250243,0.0020037994497111265,0.07847719192504883,0.005490143388305794,True,balanced,log_loss,log2,500,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
22,1.0637582302093507,0.019007290837231978,0.08191514015197754,0.008539997161433117,True,balanced,entropy,sqrt,500,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.6635997699827487,0.738355376653249,0.7975848188614146,0.8141542002301496,0.740506329113924,0.7508400989682972,0.05304201042320296,17
85,0.5607863903045655,0.015986903152886513,0.028826332092285155,0.0005071872913497642,True,balanced_subsample,entropy,,100,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 100, 'warm_start': False}",0.706728004600345,0.718803910293272,0.7814836112708453,0.8153049482163406,0.7313003452243959,0.7507241639210397,0.04110637580924571,25
84,0.5649584770202637,0.00951894101794845,0.028615140914916994,0.0005887289356758553,True,balanced_subsample,entropy,,100,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 100, 'warm_start': True}",0.706728004600345,0.718803910293272,0.7814836112708453,0.8153049482163406,0.7313003452243959,0.7507241639210397,0.04110637580924571,25
102,0.5421000003814698,0.00782364503612325,0.029096031188964845,0.0004911258287362022,True,balanced_subsample,log_loss,,100,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 100, 'warm_start': True}",0.706728004600345,0.718803910293272,0.7814836112708453,0.8153049482163406,0.7313003452243959,0.7507241639210397,0.04110637580924571,25
103,0.5416563510894775,0.007917067115784484,0.02872605323791504,0.0004175079907668203,True,balanced_subsample,log_loss,,100,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 100, 'warm_start': False}",0.706728004600345,0.718803910293272,0.7814836112708453,0.8153049482163406,0.7313003452243959,0.7507241639210397,0.04110637580924571,25
106,2.427572822570801,0.02223261328603268,0.08128461837768555,0.004546245822712467,True,balanced_subsample,log_loss,,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 500, 'warm_start': True}",0.7073030477285797,0.7228292121909143,0.7809085681426107,0.810126582278481,0.7284234752589183,0.7499181771199008,0.03898035369140622,29
89,2.407344198226929,0.03323713894709623,0.08110671043395996,0.0039022876878452993,True,balanced_subsample,entropy,,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 500, 'warm_start': False}",0.7073030477285797,0.7228292121909143,0.7809085681426107,0.810126582278481,0.7284234752589183,0.7499181771199008,0.03898035369140622,29
88,2.443117380142212,0.03129548999730858,0.08077898025512695,0.0039376855980489305,True,balanced_subsample,entropy,,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 500, 'warm_start': True}",0.7073030477285797,0.7228292121909143,0.7809085681426107,0.810126582278481,0.7284234752589183,0.7499181771199008,0.03898035369140622,29
107,2.4236916065216065,0.03450541540871344,0.07870988845825196,0.005265479583124419,True,balanced_subsample,log_loss,,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 500, 'warm_start': False}",0.7073030477285797,0.7228292121909143,0.7809085681426107,0.810126582278481,0.7284234752589183,0.7499181771199008,0.03898035369140622,29
105,1.025697374343872,0.014917581289373288,0.039841651916503906,0.0001997658041668023,True,balanced_subsample,log_loss,,200,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 200, 'warm_start': False}",0.7078780908568143,0.7176538240368028,0.7786083956296722,0.8130034522439585,0.7289988492520139,0.7492285224038524,0.04011602689400427,33
87,1.0578694820404053,0.013352123240824207,0.03953461647033692,0.00027671667606870166,True,balanced_subsample,entropy,,200,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 200, 'warm_start': False}",0.7078780908568143,0.7176538240368028,0.7786083956296722,0.8130034522439585,0.7289988492520139,0.7492285224038524,0.04011602689400427,33
86,1.0660587310791017,0.019665125906093088,0.03977236747741699,0.00025122031615790956,True,balanced_subsample,entropy,,200,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 200, 'warm_start': True}",0.7078780908568143,0.7176538240368028,0.7786083956296722,0.8130034522439585,0.7289988492520139,0.7492285224038524,0.04011602689400427,33
104,1.0291937828063964,0.017342934852753695,0.03982796669006348,0.0009482788477069427,True,balanced_subsample,log_loss,,200,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 200, 'warm_start': True}",0.7078780908568143,0.7176538240368028,0.7786083956296722,0.8130034522439585,0.7289988492520139,0.7492285224038524,0.04011602689400427,33
52,2.292396068572998,0.02737958479151501,0.08325462341308594,0.007117784206715914,True,balanced,log_loss,,500,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 500, 'warm_start': True}",0.7078780908568143,0.7205290396779759,0.7814836112708453,0.807825086306099,0.7284234752589183,0.7492278606741305,0.03857542363044207,37
34,2.358274745941162,0.1111921055574423,0.08390998840332031,0.00020682308097445917,True,balanced,entropy,,500,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 500, 'warm_start': True}",0.7078780908568143,0.7205290396779759,0.7814836112708453,0.807825086306099,0.7284234752589183,0.7492278606741305,0.03857542363044207,37
35,2.308669185638428,0.07035231642177388,0.08117265701293945,0.004576191893691629,True,balanced,entropy,,500,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 500, 'warm_start': False}",0.7078780908568143,0.7205290396779759,0.7814836112708453,0.807825086306099,0.7284234752589183,0.7492278606741305,0.03857542363044207,37
53,2.274966287612915,0.04726632068250083,0.07899532318115235,0.0052534484422162905,True,balanced,log_loss,,500,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 500, 'warm_start': False}",0.7078780908568143,0.7205290396779759,0.7814836112708453,0.807825086306099,0.7284234752589183,0.7492278606741305,0.03857542363044207,37
45,0.43477773666381836,0.01392184660185993,0.039534807205200195,0.0002880014724709172,True,balanced,log_loss,log2,200,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': False}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
44,0.43410120010375974,0.007693880669040293,0.04582056999206543,0.012869882856133386,True,balanced,log_loss,log2,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
21,0.43691554069519045,0.00991896221833197,0.0399965763092041,3.7406651797209144e-06,True,balanced,entropy,sqrt,200,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': False}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
26,0.44246411323547363,0.009219328412661132,0.04190225601196289,0.004563018593272401,True,balanced,entropy,log2,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
39,0.4348447322845459,0.0023996075539210737,0.03970942497253418,0.0003769742182677915,True,balanced,log_loss,sqrt,200,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': False}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
38,0.4383981704711914,0.005908192068035566,0.039621496200561525,0.00035136892615556604,True,balanced,log_loss,sqrt,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
20,0.43212690353393557,0.00289301670070494,0.03999619483947754,0.000630453930522236,True,balanced,entropy,sqrt,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
27,0.4426107883453369,0.01189129868949376,0.04234414100646973,0.004698731003989367,True,balanced,entropy,log2,200,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': False}",0.6578493387004025,0.730879815986199,0.7964347326049454,0.8164556962025317,0.7433831990794016,0.749000556514696,0.05562132213917959,41
30,0.5215944766998291,0.009243007592065809,0.029197168350219727,0.0004013008490817591,True,balanced,entropy,,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 100, 'warm_start': True}",0.7073030477285797,0.7153536515238643,0.7797584818861415,0.8153049482163406,0.7272727272727273,0.7489985713255306,0.04167785342450856,49
48,0.5024431705474853,0.016028439754310096,0.02851114273071289,0.0004613799464707695,True,balanced,log_loss,,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 100, 'warm_start': True}",0.7073030477285797,0.7153536515238643,0.7797584818861415,0.8153049482163406,0.7272727272727273,0.7489985713255306,0.04167785342450856,49
49,0.4995296001434326,0.01067709679756131,0.028296279907226562,0.0005319493138223027,True,balanced,log_loss,,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': None, 'n_estimators': 100, 'warm_start': False}",0.7073030477285797,0.7153536515238643,0.7797584818861415,0.8153049482163406,0.7272727272727273,0.7489985713255306,0.04167785342450856,49
31,0.5041091442108154,0.00763039277221877,0.028902292251586914,0.0001923047665305305,True,balanced,entropy,,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 100, 'warm_start': False}",0.7073030477285797,0.7153536515238643,0.7797584818861415,0.8153049482163406,0.7272727272727273,0.7489985713255306,0.04167785342450856,49
32,0.9870983600616455,0.04934692620466203,0.04012207984924317,0.0005468937312371116,True,balanced,entropy,,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'n_estimators': 200, 'warm_start': True}",0.7084531339850488,0.7182288671650374,0.7797584818861415,0.810126582278481,0.7255466052934407,0.7484227341216299,0.039552116940460534,53
